name,ring,quadrant,isNew,description
Four key metrics,Adopt,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Platform engineering product teams,Adopt,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Zero trust architecture,Adopt,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Auto ML,Trial,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
No-Code AI,Trial,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Living documentation in legacy systems,Trial,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
Micro frontends for mobile,Trial,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Green IT,Trial,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Cyber AI,Trial,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
Team cognitive load,Trial,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Cyber Security,Assess,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
Hotwire,Assess,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Operator pattern for nonclustered resources,Assess,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
Cloud Security,Assess,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
Software Bill of Materials,Assess,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
Peer review equals pull request,Hold,Techniques,FALSE,<p>put description of tool technique language framework platform here</p>
Production data in test environments,Hold,Techniques,TRUE,<p>put description of tool technique language framework platform here</p>
Backstage,Trial,Platforms,FALSE,<p>put description of tool technique language framework platform here</p>
AWS Snow Family,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
AWS IoT Greengrass,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
GitHub Actions,Trial,Platforms,FALSE,<p>put description of tool technique language framework platform here</p>
K3s,Trial,Platforms,FALSE,<p>put description of tool technique language framework platform here</p>
Azure Stack Edge,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
MirrorMaker 2.0,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
OPA Gatekeeper for Kubernetes,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
Azure Edge Zone,Trial,Platforms,FALSE,<p>put description of tool technique language framework platform here</p>
Sealed Secrets,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
Google Distributed Cloud,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
Weights & Biases,Trial,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
Azure Cognitive Search,Assess,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
Babashka,Assess,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
ExternalDNS,Assess,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
Konga,Assess,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
Milvus 2.0,Assess,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
Thought Machine Vault,Assess,Platforms,TRUE,<p>put description of tool technique language framework platform here</p>
XTDB,Assess,Platforms,FALSE,<p>put description of tool technique language framework platform here</p>
Sonarqube,Adopt,Tools,FALSE,<p>put description of tool technique language framework platform here</p>
Checkmarx,Trial,Tools,FALSE,<p>put description of tool technique language framework platform here</p>
Batect,Trial,Tools,FALSE,<p>put description of tool technique language framework platform here</p>
Berglas,Trial,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Contrast Security,Trial,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Dive,Trial,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Themis,Trial,Tools,FALSE,<p>put description of tool technique language framework platform here</p>
Nx,Trial,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Wav2Vec 2.0,Trial,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Defect Dojo,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Cloud Carbon Footprint,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Code With Me,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Comby,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Nexus,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Cosign,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Crossplane,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
gopass,Assess,Tools,FALSE,<p>put description of tool technique language framework platform here</p>
Micoo,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
mob,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Modern Unix commands,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Mozilla Sops,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Operator Framework,Assess,Tools,FALSE,<p>put description of tool technique language framework platform here</p>
Pactflow,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Prefect,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Proxyman,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Regula,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Sourcegraph,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Telepresence,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Vite,Assess,Tools,TRUE,<p>put description of tool technique language framework platform here</p>
Cloud Native Stack,Adopt,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
API Management,Adopt,languages-and-frameworks,FALSE,<p>put description of tool technique language framework platform here</p>
Arium,Trial,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
Chakra UI,Trial,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
DoWhy,Trial,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
Gatsby.js,Trial,languages-and-frameworks,FALSE,<p>put description of tool technique language framework platform here</p>
Jetpack Hilt,Trial,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
Kotlin Multiplatform Mobile,Trial,languages-and-frameworks,FALSE,<p>put description of tool technique language framework platform here</p>
lifelines,Trial,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
Mock Service Worker,Trial,languages-and-frameworks,FALSE,<p>put description of tool technique language framework platform here</p>
NgRx,Trial,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
pydantic,Trial,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
Quarkus,Trial,languages-and-frameworks,FALSE,<p>put description of tool technique language framework platform here</p>
React Native Reanimated 2.0,Trial,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
React Query,Trial,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
Tailwind CSS,Trial,languages-and-frameworks,FALSE,<p>put description of tool technique language framework platform here</p>
TensorFlow Lite,Trial,languages-and-frameworks,FALSE,<p>put description of tool technique language framework platform here</p>
Three.js,Trial,languages-and-frameworks,FALSE,<p>put description of tool technique language framework platform here</p>
ViewInspector,Trial,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
Vowpal Wabbit,Trial,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
Zap,Trial,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
Headless UI,Assess,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
InsightFace,Assess,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
Kats,Assess,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
ksqlDB,Assess,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
Polars,Assess,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
PyTorch Geometric,Assess,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
Qiankun,Assess,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
React Three Fiber,Assess,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
Ember,Assess,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
Angular,Assess,languages-and-frameworks,TRUE,<p>put description of tool technique language framework platform here</p>
